Generation 0
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07552522420883179
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07649300247430801
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07563017308712006
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.077766053378582
[[150, [5, 5], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.07306153327226639
Generation 0
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True], [128, [5, 1], False, [32, 1], 16, [5, 1], False, [4, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.07590465247631073
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True], [128, [5, 1], False, [1, 1], 8, [7, 1], False, [16, 1], False, <function tanh at 0x7f81164a0b70>, False]] : 0.06958508491516113
[[96, [5, 5], True, [1, 1], 8, [5, 3], False, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True], [96, [7, 1], True, [32, 1], 128, [5, 1], True, [1, 1], True, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.0647801086306572
[[32, [7, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True], [96, [5, 1], True, [8, 1], 16, [7, 1], False, [4, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.07247133553028107
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True], [96, [7, 1], False, [2, 1], 32, [5, 1], True, [1, 1], True, <function relu at 0x7f81162d4a60>, False]] : 0.07394443452358246
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True], [64, [7, 1], True, [32, 1], 8, [5, 1], True, [32, 1], False, <function tanh at 0x7f81164a0b70>, False]] : 0.05945678800344467
[[96, [5, 5], False, [1, 1], 64, [5, 3], True, [1, 1], True, <function selu at 0x7f81162d0378>, True], [16, [7, 1], True, [16, 1], 8, [5, 1], True, [8, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.07256786525249481
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True], [128, [5, 1], False, [2, 1], 16, [7, 1], True, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.06806270033121109
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True], [150, [5, 1], False, [2, 1], 64, [3, 1], True, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.06870434433221817
