Generation 0
[[64, [3, 3], False, [1, 1], 8, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.06190490722656
Generation 0
[[32, [7, 5], False, [1, 1], 32, [7, 1], False, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True], [96, [3, 1], False, [16, 1], 128, [5, 1], True, [16, 1], False, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 226.97691345214844
[[32, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [96, [5, 1], True, [1, 1], 96, [5, 1], False, [4, 1], True, <function relu at 0x7fbe214d2a60>, False]] : 226.89405822753906
[[150, [3, 3], False, [1, 1], 64, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, False], [16, [5, 1], True, [4, 1], 64, [5, 1], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, False]] : 226.97947692871094
[[96, [5, 3], False, [1, 1], 8, [5, 5], False, [1, 1], True, <function selu at 0x7fbe214cf378>, False], [32, [7, 1], False, [2, 1], 16, [7, 1], False, [16, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.03091430664062
[[16, [7, 3], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True], [64, [7, 1], False, [4, 1], 16, [3, 1], False, [16, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.02096557617188
[[32, [3, 3], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True], [16, [3, 1], False, [8, 1], 150, [3, 1], False, [4, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.96560668945312
[[32, [7, 7], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [64, [3, 1], True, [2, 1], 96, [7, 1], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.90443420410156
[[32, [3, 3], False, [1, 1], 96, [3, 3], False, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True], [32, [5, 1], False, [16, 1], 128, [3, 1], True, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.6623992919922
[[96, [7, 1], True, [1, 1], 150, [7, 1], True, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True], [32, [3, 1], False, [4, 1], 16, [7, 1], True, [8, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.9087677001953
[[32, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7fbe214cf378>, True], [8, [3, 1], False, [8, 1], 96, [5, 1], True, [2, 1], False, <function selu at 0x7fbe214cf378>, False]] : 227.02755737304688
[[32, [3, 3], True, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [96, [3, 1], True, [16, 1], 8, [5, 1], False, [4, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.1564178466797
[[16, [3, 3], False, [1, 1], 96, [5, 3], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [8, [7, 1], True, [16, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.03912353515625
[[64, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [96, [3, 1], True, [8, 1], 64, [7, 1], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 226.9364471435547
[[32, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [128, [7, 1], False, [16, 1], 96, [7, 1], True, [2, 1], False, <function relu at 0x7fbe214d2a60>, False]] : 227.5543212890625
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [96, [3, 1], False, [4, 1], 64, [7, 1], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.6588134765625
[[64, [7, 1], False, [1, 1], 8, [7, 1], True, [4, 1], True, <function relu at 0x7fbe214d2a60>, True], [16, [7, 1], True, [8, 1], 32, [7, 1], True, [2, 1], False, <function relu at 0x7fbe214d2a60>, False]] : 227.05978393554688
[[32, [3, 3], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True], [64, [7, 1], True, [8, 1], 128, [7, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, False]] : 226.97886657714844
[[150, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True], [150, [3, 1], True, [2, 1], 150, [3, 1], False, [2, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.72654724121094
