Generation 0
[[8, [5, 3], True, [1, 1], 64, [7, 3], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True], [16, [7, 1], False, [2, 1], 32, [3, 1], False, [4, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.1745254397392273
[[128, [7, 1], False, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True], [64, [5, 1], False, [4, 1], 8, [3, 1], True, [4, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.057413749396800995
[[96, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True], [32, [3, 1], False, [4, 1], 32, [7, 1], False, [4, 1], False, <function relu at 0x7ff930b87b70>, False]] : 0.05396920442581177
[[32, [5, 3], True, [1, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True], [64, [3, 1], False, [2, 1], 32, [5, 1], False, [4, 1], True, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.273467093706131
[[128, [7, 1], True, [1, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True], [8, [3, 1], True, [1, 1], 32, [7, 1], False, [4, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.07927671074867249
[[64, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True], [16, [3, 1], True, [1, 1], 64, [5, 1], False, [1, 1], False, <function selu at 0x7ff930bb1488>, False]] : 0.07588367164134979
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True], [96, [5, 1], False, [4, 1], 16, [5, 1], True, [4, 1], True, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.05444154143333435
[[128, [5, 1], True, [1, 1], 64, [3, 1], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True], [32, [7, 1], True, [2, 1], 16, [3, 1], False, [2, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.051519621163606644
[[64, [5, 1], True, [1, 1], 32, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True], [8, [3, 1], False, [4, 1], 8, [3, 1], False, [4, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.14683721959590912
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True], [64, [5, 1], False, [1, 1], 128, [7, 1], True, [4, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.44099316000938416
[[32, [3, 3], False, [1, 1], 8, [5, 3], False, [1, 1], False, <function relu at 0x7ff930b87b70>, True], [96, [3, 1], True, [2, 1], 96, [7, 1], True, [1, 1], False, <function relu at 0x7ff930b87b70>, False]] : 0.0583120621740818
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True], [96, [3, 1], True, [4, 1], 128, [7, 1], False, [2, 1], False, <function relu at 0x7ff930b87b70>, False]] : 0.06553906947374344
[[128, [7, 1], True, [2, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True], [32, [3, 1], True, [4, 1], 128, [7, 1], False, [2, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.05696921423077583
[[128, [5, 1], False, [1, 1], 96, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, False], [8, [5, 1], False, [2, 1], 8, [7, 1], False, [2, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.06127932295203209
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True], [64, [5, 1], True, [4, 1], 128, [7, 1], True, [2, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.06855292618274689
[[8, [5, 3], True, [1, 1], 64, [7, 3], False, [1, 1], False, <function tanh at 0x7ff930d87c80>, False], [64, [5, 1], False, [1, 1], 128, [3, 1], False, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.4432747960090637
[[8, [5, 3], True, [1, 1], 8, [7, 7], True, [1, 1], True, <function tanh at 0x7ff930d87c80>, True], [32, [5, 1], True, [2, 1], 96, [5, 1], True, [4, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.09329193085432053
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True], [96, [5, 1], True, [2, 1], 64, [7, 1], False, [4, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.05496051162481308
[[64, [5, 1], True, [1, 1], 96, [5, 3], True, [4, 1], True, <function relu at 0x7ff930b87b70>, True], [16, [3, 1], True, [4, 1], 8, [7, 1], True, [4, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.060387399047613144
[[128, [5, 1], True, [2, 1], 32, [3, 3], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True], [64, [7, 1], True, [4, 1], 32, [3, 1], False, [2, 1], True, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.43092846870422363
[[128, [5, 1], True, [2, 1], 96, [3, 3], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, False], [96, [5, 1], True, [2, 1], 8, [3, 1], True, [2, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.12037777900695801
[[32, [3, 3], False, [1, 1], 16, [7, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, False], [96, [7, 1], True, [4, 1], 64, [3, 1], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.07147712260484695
[[32, [5, 3], True, [2, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True], [96, [5, 1], False, [4, 1], 32, [3, 1], False, [2, 1], False, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.05419512465596199
