Generation 0
[[32, [5, 3], False, [1, 1], 32, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.05444891005754471
[[8, [5, 5], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06191733852028847
[[8, [7, 1], True, [1, 1], 8, [5, 5], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06655415892601013
[[128, [7, 1], True, [1, 1], 8, [7, 3], True, [1, 1], False, <function relu6 at 0x7fecde786048>, False]] : 0.06528082489967346
[[128, [7, 1], True, [1, 1], 8, [7, 3], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.055474843829870224
[[16, [7, 1], False, [1, 1], 8, [5, 3], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05344780161976814
[[64, [5, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.0670895129442215
[[64, [7, 1], True, [1, 1], 16, [7, 3], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06392902135848999
[[64, [7, 7], False, [1, 1], 96, [3, 1], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.06263042986392975
[[32, [5, 3], False, [1, 1], 32, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.044225063174963
[[96, [7, 7], True, [2, 1], 8, [7, 3], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06611036509275436
[[64, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06255011260509491
[[8, [7, 1], False, [1, 1], 96, [5, 5], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.05248456448316574
[[64, [7, 1], True, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06088164448738098
[[128, [7, 1], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.0645582377910614
